Nombre,Naturaleza,Id,Tipo,Dirección,Localidad,Provincia,Código_Postal,FAX,Teléfono,Email,Web
- Sin Denominación -,Público,[02010045],Aula de Educación de Adultos,"Cl. Francisco Belmonte, 1",Albacete,(Albacete),CP :02006,,,,
- Sin Denominación -,Público,[02010011],Sección de Instituto de Educación Secundaria,"Cl. Francisco Belmonte, 1",Albacete,(Albacete),CP :02006,967219942,967219942,02010011.ses@edu.jccm.es,
- Sin Denominación -,Público,[02004094],Escuela Oficial de Idiomas,"Av. de España, 12",Albacete,(Albacete),CP :02002,967218101,967215465,02004094.eoi@edu.jccm.es,http://edu.jccm.es/eoi/albacete
- Sin Denominación -,Público,[02009043],Escuela de Educación Infantil,"Pz. de los Colonos, 5",Aguas Nuevas,(Albacete),CP :02049,967101748,967273288,aguas@dipualba.es,
Academia Cedes,Priv.Concert.,[02000386],Centro Privado de Educación Infantil y Primaria,"Cl. Perez Galdos, 15",Albacete,(Albacete),CP :02003,967502547,967502547,direccion@lacedes.com,http://edu.jccm.es/con/academiacedes
Adeca,Privado,[02009602],Centro Privado de Educación Infantil,"Pq. Empresarial Campollano, Avenida 5ª, 11",Albacete,(Albacete),CP :02007,967264673,967264673,cai@clipes.com,
Aguas Nuevas,Público,[02003508],Centro Público Integrado de Formación Profesional,"Cr. Aguas Nuevas, Km.6,7",Aguas Nuevas,(Albacete),CP :02049,967510125,967222312,02003508.cifp@edu.jccm.es,http://edu.jccm.es/ieso/aguasnuevas
Aire Libre I,Privado,[02009614],Centro Privado de Educación Infantil,"Cl. Hermanos Jimenez, 60",Albacete,(Albacete),CP :02004,967221751,967220632,joaquin123@hotmail.com,
Aire Libre II,Privado,[02009626],Centro Privado de Educación Infantil,"Cl. Literatura, 34",Albacete,(Albacete),CP :02006,967221751,967509736,,
Alba Eep,Privado,[02010264],Centro Privado de Formación Profesional Específica,"Cl. Cristóbal Pérez Pastor, 56",Albacete,(Albacete),CP :02004,,967609942,secretaria@eep-alba.es,
Albacete,Público,[02007794],Escuela de Arte,"Cl. Jose Carbajal, S/N",Albacete,(Albacete),CP :02008,967673770,967600022,02007794.ea@edu.jccm.es,
Al-Basit,Público,[02004240],Instituto de Educación Secundaria,"Av. de España, 42",Albacete,(Albacete),CP :02006,967505326,967228716,ies.albasit@iesalbasit.es,http://edu.jccm.es/ies/albasit
