CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS,,,,,,,,,,,
AREA TERRITORIAL,CODIGO CENTRO,EMAIL,TIPO DE CENTRO,CENTRO,DOMICILIO,MUNICIPIO,DISTRITO MUNICIPAL,COD. POSTAL,TELEFONO,FAX,TITULARIDAD
Madrid-Oeste,28060646,eei.achalay.boadilla@educa.madrid.org,EEI,ACHALAY,Avenida De Isabel De Farnesio,,,,,,
Madrid-Este,28063027,eei.acuarela.sanfernando@educa.madrid.org,EEI,ACUARELA,Avenida Del Somorrostro,,,,,,
Madrid-Sur,28047460,eei.adivinanzas.alcorcon@educa.madrid.org,EEI,ADIVINANZAS,Calle De Las Palmeras,,,,,,
Madrid-Capital,28047551,eei.aguadulce.madrid@educa.madrid.org,EEI,AGUA DULCE,Calle De Leñeros,,,,,,
Madrid-Sur,28044100,eei.ailantos.valdemoro@educa.madrid.org,EEI,AILANTOS,Plaza Duque De Ahumada,,,,,,
Madrid-Capital,28043405,eei.albaicin.madrid@educa.madrid.org,EEI,ALBAICIN,Calle De Albaicín,,,,,,
Madrid-Capital,28043417,eei.alfar.madrid@educa.madrid.org,EEI,ALFAR,Calle De Gerardo Diego,,,,,,
Madrid-Capital,28067665,eei.altair.madrid@educa.madrid.org,EEI,ALTAIR,Calle De José De Cadalso,,,,,,
Madrid-Capital,28047861,cn.amadeovives.madrid@educa.madrid.org,EEI,AMADEO VIVES,Calle De Los Yébenes,,,,,,
Madrid-Capital,28070913,eei.amanecer.madrid@educa.madrid.org,EEI,AMANECER,Calle Del Titanio,,,,,,
Madrid-Capital,28072004,eei.anadeaustria.madrid@educa.madrid.org,EEI,ANA DE AUSTRIA,Calle De Ana De Austria,,,,,,
Madrid-Sur,28044161,eei.andersen.alcorcon@educa.madrid.org,EEI,ANDERSEN,Avenida De Viña Grande,,,,,,
Madrid-Este,28068098,eei.antonpirulero.coslada@educa.madrid.org,EEI,ANTON PIRULERO,Calle Puerto De Bilbao,,,,,,
Madrid-Capital,28079621,,EEI,ANTONIO MERCERO,Avenida De Valladolid,,,,,,
Madrid-Capital,28062643,eei.arce.madrid@educa.madrid.org,EEI,ARCE,Calle Del Alcalde Garrido Juaristi,,,,,,
Madrid-Este,28049055,eei.arcoiris.alcala@educa.madrid.org,EEI,ARCO IRIS,Calle Valverde De Alcala,,,,,,
Madrid-Capital,28043454,eei.arcoiris.madrid@educa.madrid.org,EEI,ARCO IRIS,Calle De Diego Olivera Victorio,,,,,,
Madrid-Sur,28065292,eei.arte.getafe@educa.madrid.org,EEI,ARTE,Calle Mezquita,,,,,,
Madrid-Oeste,28068037,eei.aserrinaserran.lasrozas@educa.madrid.org,EEI,ASERRIN ASERRAN,Calle Castillo De Atienza,,,,,,
Madrid-Capital,28043740,eei.barbelinhelder.madrid@educa.madrid.org,EEI,BÄRBEL INHELDER,Carretera De Colmenar,,,,,,
Madrid-Sur,28049067,eei.barcodepapel.navalcarnero@educa.madrid.org,EEI,BARCO DE PAPEL,Avenida De Los Cinco Siglos,,,,,,
Madrid-Sur,28043922,eei.caleidoscopio.mostoles@educa.madrid.org,EEI,CALEIDOSCOPIO,Avenida De Carlos V,,,,,,
Madrid-Oeste,28072429,eei.calimero.colladovillalba@educa.madrid.org,EEI,CALIMERO,Calle Amapolas,,,,,,
Madrid-Capital,28068301,eei.campanilla.madrid@educa.madrid.org,EEI,CAMPANILLA,Calle De Ávila,,,,,,
